YEAR,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC,WINTER,SUMMER
1901,25.42,20.11,27.64,28.16,23.1,21.605,27.9
1902,25.42,20.88,27.96,27.98,22.51,21.695,27.97
1903,25.01,19.99,27.02,28,22.33,21.16,27.51
1904,24.93,19.76,27.23,27.57,22.56,21.16,27.4
1905,24.84,18.36,26.38,28.2,23.13,20.745,27.29
1906,25.18,19.75,27.39,27.78,23.11,21.43,27.585
1907,25.02,20.51,26.53,27.74,22.88,21.695,27.135
1908,25,20.12,27.53,27.65,22.21,21.165,27.59
1909,24.96,20.08,27.14,27.32,22.9,21.49,27.23
1910,24.84,20.24,27.29,27.44,22.01,21.125,27.365
1911,25.08,20.34,26.95,27.83,22.72,21.53,27.39
1912,25.2,20.89,27.31,27.88,22.39,21.64,27.595
1913,24.95,20.28,27.01,27.57,22.5,21.39,27.29
1914,25.07,20.51,26.92,27.71,22.75,21.63,27.315
1915,25.44,20.09,27.45,28.33,23.14,21.615,27.89
1916,25.08,20.2,27.86,27.5,22.34,21.27,27.68
1917,24.54,20.16,26.16,27.3,22.14,21.15,26.73
1918,24.96,19.75,26.82,27.78,22.81,21.28,27.3
1919,25.15,20.48,27.33,27.7,22.71,21.595,27.515
1920,25.14,20.24,26.91,27.8,23.09,21.665,27.355
1921,25.45,20.87,28.46,27.69,22.5,21.685,28.075
1922,25.18,20.53,27.88,27.6,22.33,21.43,27.74
1923,25.16,20.01,27.44,27.9,22.64,21.325,27.67
1924,25.3,20.39,27.82,27.92,22.55,21.47,27.87
1925,24.97,19.4,27.5,27.57,22.71,21.055,27.535
1926,25.14,20.9,26.74,28.13,22.37,21.635,27.435
1927,25.01,20.05,26.97,27.69,22.77,21.41,27.33
1928,25.31,20.58,27.56,27.79,22.92,21.75,27.675
1929,25.15,19.99,27.77,27.71,22.58,21.285,27.74
1930,25.01,19.77,27.22,27.65,22.76,21.265,27.435
1931,25.45,20.69,27.72,28.04,22.89,21.79,27.88
1932,25.25,20.33,27.32,27.88,22.94,21.635,27.6
1933,24.91,20.27,26.78,27.46,22.75,21.51,27.12
1934,25.06,20.15,27.32,27.74,22.5,21.325,27.53
1935,25.05,20.05,27.23,27.62,22.77,21.41,27.425
1936,25.11,20.18,27.4,27.46,22.98,21.58,27.43
1937,25,20.23,26.99,27.88,22.36,21.295,27.435
1938,25.1,20.09,27.95,27.45,22.47,21.28,27.7
1939,25.09,20.51,26.95,27.73,22.75,21.63,27.34
1940,24.97,20.02,26.77,27.75,22.76,21.39,27.26
1941,25.61,20.33,28.17,28.05,23.3,21.815,28.11
1942,25.26,20.33,27.85,27.88,22.45,21.39,27.865
1943,24.84,19.67,26.94,27.59,22.53,21.1,27.265
1944,24.86,19.34,26.9,27.86,22.52,20.93,27.38
1945,24.69,18.88,27.05,28,21.79,20.335,27.525
1946,25.29,20.68,27.36,27.7,23.09,21.885,27.53
1947,25.35,20.27,27.78,28.02,22.77,21.52,27.9
1948,25.29,20.42,27.57,27.87,22.82,21.62,27.72
1949,25.16,20.53,27.52,27.76,22.43,21.48,27.64
1950,24.88,19.98,27.1,27.59,22.31,21.145,27.345
1951,25.33,20.06,27.01,28.03,23.55,21.805,27.52
1952,25.41,21.17,27.47,27.9,22.86,22.015,27.685
1953,25.58,20.75,28.28,27.89,23.03,21.89,28.085
1954,25.24,20.5,28,27.76,22.28,21.39,27.88
1955,25.02,20.58,27.22,27.6,22.33,21.455,27.41
1956,24.95,20.03,27.69,27.22,22.45,21.24,27.455
1957,25.15,19.93,26.86,27.92,23.21,21.57,27.39
1958,25.75,21.19,28.04,28.18,23.24,22.215,28.11
1959,25.36,20.31,27.83,27.8,22.99,21.65,27.815
1960,25.39,20.85,27.27,28.03,23,21.925,27.65
1961,24.97,20.05,27.65,27.58,22.09,21.07,27.615
1962,25.05,19.85,27.36,27.83,22.5,21.175,27.595
1963,25.24,20.38,27.06,27.87,23.17,21.775,27.465
1964,25.23,20.17,27.9,27.61,22.78,21.475,27.755
1965,25.23,20.64,26.77,27.88,23.22,21.93,27.325
1966,25.52,21.23,27.66,27.91,23.04,22.135,27.785
1967,25.17,20.63,26.96,27.8,22.88,21.755,27.38
1968,25.09,19.67,27.1,27.95,22.88,21.275,27.525
1969,25.58,20.5,27.95,28,23.37,21.935,27.975
1970,25.23,20.61,27.76,27.65,22.54,21.575,27.705
1971,24.83,20.13,26.96,27.31,22.52,21.325,27.135
1972,25.22,19.61,27.29,28.07,23.09,21.35,27.68
1973,25.37,20.86,27.98,27.8,22.54,21.7,27.89
1974,25.08,19.69,27.62,27.79,22.52,21.105,27.705
1975,24.84,19.8,27.42,27.33,22.29,21.045,27.375
1976,25.11,19.8,27.04,27.59,23.44,21.62,27.315
1977,25.29,20.17,27.37,27.74,23.34,21.755,27.555
1978,25.13,19.66,27.33,27.58,23.3,21.48,27.455
1979,25.62,20.47,27.36,28.29,23.74,22.105,27.825
1980,25.6,20.82,28,27.92,23.31,22.065,27.96
1981,25.29,20.5,27.39,27.96,22.84,21.67,27.675
1982,25.25,20.41,26.81,28.07,23.18,21.795,27.44
1983,25.12,20.09,26.93,28.12,22.68,21.385,27.525
1984,25.22,19.94,27.86,27.65,22.87,21.405,27.755
1985,25.4,20.62,28.01,27.71,22.89,21.755,27.86
1986,25.23,20.26,27.35,27.82,22.96,21.61,27.585
1987,25.65,20.73,27.29,28.55,23.4,22.065,27.92
1988,25.55,21.15,27.72,27.92,23.13,22.14,27.82
1989,25.15,20.08,27.28,27.66,23.06,21.57,27.47
1990,25.26,20.87,26.9,27.78,23.2,22.035,27.34
1991,25.39,20.6,27.52,28.04,22.93,21.765,27.78
1992,25.25,20.1,27.21,27.98,23.08,21.59,27.595
1993,25.46,20.64,27.34,28.08,23.29,21.965,27.71
1994,25.39,20.8,27.6,27.84,22.98,21.89,27.72
1995,25.46,20.42,27.44,28.18,23.23,21.825,27.81
1996,25.42,20.77,27.67,27.91,22.94,21.855,27.79
1997,25.35,20.2,27.23,28.13,23.22,21.71,27.68
1998,25.72,20.83,27.82,28.31,23.43,22.13,28.065
1999,25.57,20.81,27.81,27.92,23.37,22.09,27.865
2000,25.53,20.53,27.63,27.85,23.65,22.09,27.74
2001,25.6,20.78,27.73,27.92,23.61,22.195,27.825
2002,25.74,20.74,28.02,28.17,23.57,22.155,28.095
2003,25.61,20.71,27.83,28.1,23.33,22.02,27.965
2004,25.65,20.76,28.1,28.02,23.3,22.03,28.06
2005,25.58,20.8,27.7,28.25,23.1,21.95,27.975
2006,25.72,21.39,27.69,28.02,23.59,22.49,27.855
2007,25.67,20.92,27.84,28.11,23.42,22.17,27.975
2008,25.55,20.26,27.7,27.85,23.85,22.055,27.775
2009,26.05,21.59,28.12,28.55,23.61,22.6,28.335
2010,26.03,21.09,28.89,28.2,23.58,22.335,28.545
2011,25.62,20.52,27.67,28.06,23.71,22.115,27.865
2012,25.6,20.36,27.82,28.26,23.33,21.845,28.04
2013,25.68,20.93,28.04,28.03,23.36,22.145,28.035
2014,25.73,20.53,27.62,28.57,23.54,22.035,28.095
2015,25.92,21.05,27.63,28.46,24.08,22.565,28.045
2016,26.2,21.8,28.64,28.35,23.84,22.82,28.495
2017,26.04,21.37,28.2,28.39,23.84,22.605,28.295
2018,25.9,21.24,28.16,28.28,23.55,22.395,28.22
2019,25.86,20.71,28,28.6,23.49,22.1,28.3
2020,25.78,20.79,27.58,28.45,23.75,22.27,28.015
2021,25.93,21.43,27.97,28.36,23.66,22.545,28.165
,,,,,,,
,ANNUAL,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC,,
